,2020-03-31,2019-03-31,2018-03-31,2017-03-31
HUDCO.NS,17082000000,11798500000,10099100000,8422400000
IBREALEST.NS,1206923000,5041457000,23728452000,3968913000
IBULHSGFIN.NS,21998000000,40905300000,38954000000,29063928180
IBULISL.NS,-2955300000,733066000,34366000,-210591000
IBVENTURES.NS,43267000,4590969000,2095311000,1022517114
ICICIBANK.NS,95663078000,42542387000,77121865000,101883845000
ICICIGI.NS,NaN,NaN,NaN,NaN
ICICIPRULI.NS,10669794000,11389262000,16191653000,16816612000
ICIL.NS,737800000,602409000,1260389000,2322388000
ICRA.NS,961750000,1054030000,1006955000,885675000
IDBI.NS,-128352369000,-149867554000,-81323999000,-50159048000
IDEA.NS,NaN,NaN,NaN,NaN
IDFC.NS,-9949000000,-8391800000,8691500000,6990900000
IDFCFIRSTB.NS,NaN,NaN,NaN,NaN
IEX.NS,1757179000,1650367000,1316852000,1135813000
IFBAGRO.NS,222056000,313630000,286282000,320628000
IFBIND.NS,NaN,NaN,NaN,NaN
IFCI.NS,NaN,NaN,NaN,NaN
IFGLEXPOR.NS,NaN,NaN,NaN,NaN
IGARASHI.NS,NaN,NaN,NaN,NaN
IGL.NS,12489900000,8421000000,7217200000,6063400000
IGPL.NS,208780000,1168482000,1460309000,1015660000
IIFL.NS,5018300000,7946200000,7947390000,6860890000
IIFLSEC.NS,2339760000,1714330000,1805760000,
IIFLWAM.NS,2011640000,3745470000,3801690000,2504692755
IITL.NS,-395653000,-462398600,-844235350,-258348906
IL&FSENGG.NS,NaN,NaN,NaN,NaN
IL&FSTRANS.NS,,,1757200000,1493100000
IMAGICAA.NS,NaN,NaN,NaN,NaN
IMFA.NS,-663000000,-10200000,1861000000,2489400000
IMPAL.NS,495419000,413186000,313599000,322231000
IMPEXFERRO.NS,-250481000,-167463000,-683414000,-876426000
INDBANK.NS,NaN,NaN,NaN,NaN
INDHOTEL.NS,NaN,NaN,NaN,NaN
INDIACEM.NS,501572000,210603000,650613000,1510268000
INDIAGLYCO.NS,NaN,NaN,NaN,NaN
INDIAMART.NS,1473820000,200440000,547590000,-643460000
INDIANB.NS,8613400000,3801300000,13105400000,14530600000
INDIANCARD.NS,-50624000,-205431000,-182256000,86731000
