,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,NaN,NaN,NaN,NaN
21STCENMGM.NS,NaN,NaN,NaN,NaN
BRIGADE.NS,1305800000,2399100000,1392000000,1530800000
BRITANNIA.NS,14026300000,11591200000,10042300000,8844700000
BRNL.NS,NaN,NaN,NaN,NaN
BROOKS.NS,-93887000,-50450000,-61816000,95647000
BSE.NS,-4762000000,-1230000000,-449700000,-449700000
BSELINFRA.NS,333607.0,1442110.0,1471829.0,1548383.0
BSL.NS,303463000.0,201878000.0,373831000.0,109713000.0
BSOFT.NS,2243480000.0,2894710000.0,2528540000.0,2385050000.0
BURNPUR.NS,121213000.0,120308000.0,121914000.0,121713000.0
BUTTERFLY.NS,NaN,NaN,NaN,NaN
BVCL.NS,77091000,205335000,131148000,260365000
BYKE.NS,-31296000.0,-49387000.0,74680000.0,7078000.0
CADILAHC.NS,3989000000,-8109000000,-29000000,7556000000
CALSOFT.NS,-35685.0,-35685.0,-35685.0,-35685.0
CAMLINFINE.NS,NaN,NaN,NaN,NaN
CANBK.NS,NaN,NaN,NaN,NaN
CANDC.NS,NaN,NaN,NaN,NaN
CANFINHOME.NS,-292152000,4008005000,-9608000,1107000
CANTABIL.NS,238925000,237399000,72476000,95465000
CAPACITE.NS,777458000.0,168325000.0,18125000.0,73041000.0
CAPLIPOINT.NS,2150080000,1765670000,1447877000,956124000
CAPTRUST.NS,23535000.0,175559000.0,-101372951.0,-541317666.0
CARBORUNIV.NS,2724170000,2476780000,2155960000,1748670000
CAREERP.NS,28431000.0,-28316000.0,20824000.0,58550000.0
CARERATING.NS,-128270000.0,-41701000.0,105184530.0,11879847.0
CASTROLIND.NS,,,,
CCHHL.NS,-3252224000.0,894603477.0,513460890.0,833260699.0
CCL.NS,906561000.0,1615690000.0,1451481000.0,1017845000.0
CDSL.NS,-10221000,-11749000,-255206000,294853000
CEATLTD.NS,-401500000,-146300000,581700000,103500000
CEBBCO.NS,-147472000.0,92240000.0,-7501000.0,56583000.0
CELEBRITY.NS,174600000.0,146100000.0,4900000.0,47300000.0
CENTENKA.NS,-6000000,-183300000,203600000,-20000000
CENTEXT.NS,NaN,NaN,NaN,NaN
CENTRALBK.NS,-122018700000,-194668800000,-424216800000,312477500000
CENTRUM.NS,177203000.0,-821767000.0,407797150.0,469003239.0
CENTUM.NS,-37240000.0,-44030000.0,80700000.0,-255430000.0
CENTURYPLY.NS,-18187000,29134000,-460824000,283627000
CENTURYTEX.NS,1278000000,-2525100000,2189700000,5178600000
CERA.NS,-58317000.0,-150051000.0,5209000.0,1570000.0
CEREBRAINT.NS,NaN,NaN,NaN,NaN
CESC.NS,7103100000.0,-1296100000.0,-6225700000.0,4020700000.0
CESCVENT.NS,-89400000.0,-89400000.0,-89400000.0,
CGCL.NS,NaN,NaN,NaN,NaN
CGPOWER.NS,6816300000.0,8108600000.0,3796400000.0,-5399400000.0
CHALET.NS,2524410000.0,3655210000.0,2489110000.0,2012230000.0
CHAMBLFERT.NS,12261900000,5902100000,4988447000,3621389000
CHEMBOND.NS,236600000.0,-122085000.0,-122801000.0,48857000.0
CHEMFAB.NS,254461000,167558000,254745000,155274000
CHENNPETRO.NS,-6202000000.0,-1437100000.0,27566700000.0,6087374000.0
CHOLAFIN.NS,10537200000.0,11980600000.0,9193300000.0,7194296000.0
CHOLAHLDNG.NS,4165300000.0,28027300000.0,1599100000.0,-7378200000.0
CHROMATIC.NS,2562000,2472000,2293000,2425000
CIGNITITEC.NS,1215999000,1473576000,321733000,-3948269000
CIMMCO.NS,,-99260000.0,-301364000.0,107716000.0
CINELINE.NS,212786000.0,-22834000.0,767500000.0,79600000.0
CINEVISTA.NS,9450000.0,10521000.0,13245000.0,16112550.0
CIPLA.NS,2340200000,-3451000000,2431100000,-2478000000
CKFSL.NS,,202228764.0,221095279.0,221095279.0
CLEDUCATE.NS,11818000.0,-32480000.0,-739313000.0,783955000.0
CLNINDIA.NS,-22517000,80051000,-41476000,29472000
CMICABLES.NS,-135822000.0,137335000.0,8751000.0,-10402000.0
CNOVAPETRO.NS,NaN,NaN,NaN,NaN
COALINDIA.NS,-24712100000.0,-24257800000.0,-1962400000.0,-6824900000.0
COCHINSHIP.NS,NaN,NaN,NaN,NaN
COFORGE.NS,4440000000.0,4033000000.0,2802000000.0,2501000000.0
COLPAL.NS,8899006000.0,9829975000.0,6939317000.0,6880043000.0
COMPINFO.NS,-354839000.0,-17230000.0,92301000.0,11766000.0
COMPUSOFT.NS,16000000,-36400000,83300000,-87800000
CONCOR.NS,-640100000.0,-792600000.0,756600000.0,
CONFIPET.NS,524129000.0,668027000.0,268159662.0,50041693.0
CONSOFINVT.NS,358902000.0,-50429000.0,476763764.0,18223769.0
CONTROLPR.NS,-103343000.0,119880000.0,24593000.0,-5887000.0
CORALFINAC.NS,83518726,48716518,-6438897,27691000
CORDSCABLE.NS,-1653000,-895000,830000,-438000
COROMANDEL.NS,10650400000,7204800000,6913100000,4769600000
COSMOFILMS.NS,NaN,NaN,NaN,NaN
COUNCODOS.NS,19000446,8689031,-25381132,17530211
COX&KINGS.NS,,,,-204300000.0
CREATIVE.NS,77762000,58477000,28876777,13399181
CREATIVEYE.NS,1263067.0,-9778316.0,-46497058.0,16117292.0
CREDITACC.NS,NaN,NaN,NaN,NaN
CREST.NS,-18814514.0,17518870.0,-21057993.0,7929489.0
CRISIL.NS,,,,
CROMPTON.NS,4963900000,4013900000,3237900000,2831700000
CSBBANK.NS,-11736558000.0,-13264678000.0,2477550000.0,-777340000.0
CTE.NS,-2442440,11663030,5860080,-19167890
CUB.NS,-5483159000,-51767224000,-29199788000,-26739980000
CUBEXTUB.NS,27275000,-51982357,36082398,21865986
CUMMINSIND.NS,-139900000,431400000,283700000,385800000
CUPID.NS,-18254000,-4402000,-85594000,109650000
CYBERTECH.NS,-91355000.0,78649000.0,25076000.0,40761000.0
CYIENT.NS,3425000000,4785000000,4054000000,3438000000
DAAWAT.NS,-100591000.0,97262000.0,-132527000.0,66031000.0
DABUR.NS,14449600000,14423300000,13543900000,12769400000
DALBHARAT.NS,-140000000.0,-350000000.0,1770000000.0,-130000000.0
DALMIASUG.NS,724400000,-2204400000,7062300000,1547800000
DAMODARIND.NS,10114235,19506087,19506087,19506087
DATAMATICS.NS,1251990000,-121660000,141210000,65670000
DBCORP.NS,2749760000.0,2738410000.0,3239700000.0,3747570000.0
DBL.NS,2674968000.0,2265434000.0,1315192000.0,471840000.0
DBREALTY.NS,48167000,949348000,220604000,-1269294000
DBSTOCKBRO.NS,103895373.0,-27380252.0,30021362.0,-69067700.0
DCAL.NS,456100000.0,108000000.0,69100000.0,238100000.0
DCBBANK.NS,7524944000,4213909000,11795225000,3008978000
DCM.NS,-95231000.0,62204000.0,-53016000.0,10042000.0
DCMFINSERV.NS,1226537,-9078821,6916905,2703532
