,2020-03-31,2019-03-31,2018-03-31,2017-03-31
ARFIN.bo,-215718000,65616000,217006000,130093000
HELPAGE.bo,NaN,NaN,NaN,NaN
INDRAIND.bo,14438472,-68768134,-14190268,-5870860
HAWAENG.bo,8470893,7355968,9773658,7067391
AIIL.bo,-152933337,-374333723,59909749,83510855
POEL.bo,-6050000,-64285000,26694000,7777000
AEL.bo,13613804,11142506,28243869,10287651
DEVHARI.bo,,,6101246,1967022
CAPFIN.bo,NaN,NaN,NaN,NaN
MOONGIPASEC.bo,-9975000,-3425555,5858636,2304124
SATIA.bo,NaN,NaN,NaN,NaN
GVBL.bo,2859927,2324966,340905,-685754
GARMNTMNTR.bo,NaN,NaN,NaN,NaN
SRESTHA.bo,-2513248,-4245014,3218695,678936
SAUMYA.bo,-41463309,28983125,29432601,31254003
MUL.bo,-482721000,43094869,91905166,93001593
MISHKA.bo,-7271529,1401015,125388,1301051
SPORTKING.bo,123577000,240203000,191584000,217817000
VMV.bo,3163608,1194084,1653649,655431
AMBITION.bo,9756468,11662062,21486250,14792259
HCKKVENTURE.bo,NaN,NaN,NaN,NaN
JIYAECO.bo,-6034000,182653516,85407243,45536914
RUDRA.bo,2369652,157498158,112764854,57412149
LOYAL.bo,28791360,45043150,19909010,21834830
GGPL.bo,NaN,NaN,NaN,NaN
MRSS.bo,,107968000,136126000,46313000
CHEMIESYNT.bo,NaN,NaN,NaN,NaN
GPL.bo,2101785,37082446,-32591389,28996
JEL.bo,-544672,-1251987,-15896522,-418180
BALKRISHNA.bo,-345603000,-422390000,-401878000,-234588000
SCFL.bo,NaN,NaN,NaN,NaN
SURYAINDIA.bo,NaN,NaN,NaN,NaN
ADANITRANS.bo,7418200000,5592000000,11429400000,4164300000
STARDELTA.bo,43891305,56087238,21774238,32160175
AMRAFIN.bo,NaN,NaN,NaN,NaN
DRHABEEB.bo,-19816000,-22310595,-10356363,-8268456
SYNGENE.bo,NaN,NaN,NaN,NaN
PECOS.bo,3037633,4077507,1603877,3292135
MSL.bo,37478775,33523590,33238821,30963876
KAYA.bo,-544235000,-159641000,-211343000,-289486000
ALSTONE.bo,NaN,NaN,NaN,NaN
SYMBIOX.bo,235000,269103,1316521,1127404
ORTINLAABS.bo,-5639000,12800000,6792000,5032000
AVI.bo,NaN,NaN,NaN,NaN
MJCO.bo,NaN,NaN,NaN,NaN
BINDALAGRO.bo,714573000,480780000,420573000,658861000
OZONEWORLD.bo,3139000,3500789,1515801,3989270
AKSPINTEX.bo,19059000,12620285,33609670,21003688
ARVSMART.bo,NaN,NaN,NaN,NaN
POWERMECH.bo,1312600000,1216200000,794400000,646756167
MINDAFIN.bo,NaN,NaN,NaN,NaN
CANOPYFIN.bo,-30626800,-2235516,-923294,143984
RAMASTEEL.bo,11626000,83718000,127155000,94630000
THINKINK.bo,NaN,NaN,NaN,NaN
NFIL.bo,NaN,NaN,NaN,NaN
UTISENSETF.bo,NaN,NaN,NaN,NaN
UTINIFTETF.bo,NaN,NaN,NaN,NaN
UNIAUTO.bo,-35307867,76730245,45851257,30364614
VETO.bo,NaN,NaN,NaN,NaN
NAVKARCORP.bo,453127000,528193000,1009177000,887888000
SHREEPUSHK.bo,357111000,408458000,365489000,302170000
GUJGAS.bo,11988200000,4184500000,2924400000,2205900000
WAAREE.bo,NaN,NaN,NaN,NaN
SADBHIN.bo,10336530000,-2452730000,-3290370000,-3531440000
PRABHAT.bo,,488549000,472752000,469426000
SALAUTO.bo,NaN,NaN,NaN,NaN
POLYSPIN.bo,53504786,74516347,50376199,33797264
PRITIKAUTO.bo,55785000,141214000,110649000,42408000
SKC.bo,NaN,NaN,NaN,NaN
SML.bo,-12652600,-6696761,3136924,1004635
MINFY.bo,-4844523,-6846084,-3839979,-3724065
KRISHNACAP.bo,582608,1675899,2219638,3361026
ACME.bo,NaN,NaN,NaN,NaN
KCL.bo,8075012,2536851,9840514,8960806
VISHALBL.bo,105000,63980828,34243415,8119948
BELLACASA.bo,91307000,87759000,56988000,32680205
MALLCOM.bo,NaN,NaN,NaN,NaN
PJL.bo,,11579468,9843127,10143790
VAL.bo,-70175449,-3563631,587883,128769
ARAMBHAN.bo,-33091000,-242828547,-110860000,-42863740
SATIN.bo,NaN,NaN,NaN,NaN
DITCO.bo,88106,61633,42185,-279847
SWAGTAM.bo,NaN,NaN,NaN,NaN
GENCON.bo,145361000,156223000,114960000,16498000
KUBERJI.bo,,-631873,1639783,963123
NEERAJ.bo,NaN,NaN,NaN,NaN
WELCON.bo,NaN,NaN,NaN,NaN
TEJNAKSH.bo,20901102,30254912,28680999,18225870
INDOGLOBAL.bo,NaN,NaN,NaN,NaN
BRIPORT.bo,4365260,3243330,3872617,-321279
RFSL.bo,NaN,NaN,NaN,NaN
IDFCFIRSTB.bo,NaN,NaN,NaN,NaN
BEARDSELL.bo,8193000,-7510000,3805000,55236000
INDIGO.bo,-2336780000,1572470000,22423240000,16591470000
IGCIL.bo,-11682726,-42792,107397,124938
SHK.bo,356900000,884800000,938800000,1048200000
ARYAVAN.bo,NaN,NaN,NaN,NaN
TFSL.bo,-1084000,546000,205350,190059
PANORAMA.bo,NaN,NaN,NaN,NaN
SHREEGANES.bo,2358491,17899202,35004349,37332657
GTV.bo,8226943,8343641,5778578,3872783
LICNETFN50.bo,NaN,NaN,NaN,NaN
PARIKSHA.bo,NaN,NaN,NaN,NaN
LICNETFSEN.bo,NaN,NaN,NaN,NaN
TFLL.bo,NaN,NaN,NaN,NaN
GARBIFIN.bo,11654000,10325965,6989622,608061
ADHARSHILA.bo,NaN,NaN,NaN,NaN
SMARTFIN.bo,3404000,6085497,8625218,11100173
RAJKOTINV.bo,-573388,-103988,107331,689508
ADCON.bo,NaN,NaN,NaN,NaN
GMLM.bo,-3067678,1123823,2353237,920344
HDFCNIFETF.bo,NaN,NaN,NaN,NaN
SXETF.bo,NaN,NaN,NaN,NaN
UDAYJEW.bo,NaN,NaN,NaN,NaN
MAYUKH.bo,-81000,-645160,447040,50700
SHAILJA.bo,NaN,NaN,NaN,NaN
NAVIGANT.bo,4682103,5620991,8050219,2005399
GROVY.bo,NaN,NaN,NaN,NaN
ALKEM.bo,11270700000,7605100000,6309400000,8920300000
LALPATHLAB.bo,2259410000,1991800000,1707320000,1545880000
NAVKETAN.bo,-489000,-946241,246410,296731
SCTL.bo,-11437000,1700931,2403119,1639143
CREATIVE.bo,30127900,34652578,30848305,26527295
AAYUSH.bo,NaN,NaN,NaN,NaN
ELITECON.bo,NaN,NaN,NaN,NaN
LUXIND.bo,1228866000,987984000,778797000,628478000
VALLEY.bo,NaN,NaN,NaN,NaN
ABHIINFRA.bo,609076,-883457,-950833,-571978
APOORVA.bo,34388000,47484000,27756000,5982000
BNL.bo,NaN,NaN,NaN,NaN
NH.bo,1189160000,591690000,513470000,830530000
FMEC.bo,NaN,NaN,NaN,NaN
DDIL.bo,NaN,NaN,NaN,NaN
ABHIJIT.bo,NaN,NaN,NaN,NaN
ROXY.bo,2770000,80000,136000,33466
AARNAV.bo,NaN,NaN,NaN,NaN
ACEWIN.bo,NaN,NaN,NaN,NaN
SCL.bo,7382000,4904000,121025,4421388
SIPTL.bo,-1009000,-1359621,-805161,1974
SHIVA.bo,,1122000,20000,723395
MISHTANN.bo,338757,118020636,57874853,11672775
DELTA.bo,NaN,NaN,NaN,NaN
JSLHISAR.bo,3928700000,3813500000,5780400000,2866500000
ORACLECR.bo,1250669,1048965,370778,348416
KEL.bo,NaN,NaN,NaN,NaN
CHAMAK.bo,NaN,NaN,NaN,NaN
BLUECLOUDS.bo,73339,220195,552605,424300
AINFRA.bo,36748000,84298000,8083000,-1469000
BCLENTERPR.bo,NaN,NaN,NaN,NaN
AARCOM.bo,-2332024,8064453,1725266,2792110
PRECAM.bo,349575000,115204000,460869000,665880000
BVL.bo,-28468000,-2119791,3017990,1708197
TEAMLEASE.bo,349753000,980299000,734559000,575704000
VIDLI.bo,1626147,1927396,1481649,6197367
BESTAGRO.bo,NaN,NaN,NaN,NaN
ACEMEN.bo,-534101,-45406,-631664,14240
BFLAFL.bo,221627,789236,329342,8721502
RGF.bo,NaN,NaN,NaN,NaN
RCL.bo,439387,-149193,-277917,629134
QUICKHEAL.bo,744110000,918240000,830050000,532270000
KAPILRAJ.bo,405000,472396,2433590,1593570
GANGAPHARM.bo,1887564,1871223,940072,741575
DAL.bo,NaN,NaN,NaN,NaN
SESL.bo,-1999878,93656,-7638541,-197884
SHIVKAMAL.bo,NaN,NaN,NaN,NaN
KPEL.bo,11002000,194368000,18782000,168944486
IFINSER.bo,NaN,NaN,NaN,NaN
HILIKS.bo,NaN,NaN,NaN,NaN
HYPERSOFT.bo,NaN,NaN,NaN,NaN
GOKULAGRO.bo,191936000,108823000,154625000,200050000
FREDUN.bo,19019188,44600461,17509379,14274107
SIMBHALS.bo,-335200000,-379786000,-1902434000,-539665000
RELICAB.bo,-21319653,10954451,5164306,1428916
MODCL.bo,-1508240,-1483380,-1997060,792973
MNIL.bo,NaN,NaN,NaN,NaN
DARJEELING.bo,-282000,8774000,5430000,2985080
ADVIKCA.bo,,1188222,1014177,673275
LICNFNHGP.bo,NaN,NaN,NaN,NaN
PDMJEPAPER.bo,NaN,NaN,NaN,NaN
HCG.bo,-1066950000,-247970000,205230000,221730000
KDML.bo,NaN,NaN,NaN,NaN
UMIYA.bo,NaN,NaN,NaN,NaN
BHARATWIRE.bo,-609577000,-445558000,2491000,24402000
CHDCHEM.bo,5286000,6599978,5155551,3465704
INFIBEAM.bo,1079920000,1270240000,882240000,441080000
RADHEY.bo,1418000,2322000,505941,-98888
MUDRA.bo,4760931,1483456,,
SICLTD.bo,,-10765000,7108963,-36801550
BALGOPAL.bo,NaN,NaN,NaN,NaN
SUPERIOR.bo,1630890,959050,353125,1382251
RPEL.bo,94380000,80463000,58699183,25373845
FRANKLIN.bo,1739000,1993928,1945688,2485549
LANCER.bo,80124000,82223000,68502000,16770506
NINSYS.bo,NaN,NaN,NaN,NaN
EQUITAS.bo,2046100000,1765900000,136800000,1593657000
HALDER.bo,46302000,33476111,14797673,27434803
SKIL.bo,NaN,NaN,NaN,NaN
THYROCARE.bo,884100000,851400000,932800000,428450000
BAJAJHCARE.bo,224998000,163103073,151862766,78247468
UJJIVAN.bo,2822944000,1504440000,259516000,2076711158
RSDFIN.bo,74600000,104601073,47158540,100091487
CROMPTON.bo,NaN,NaN,NaN,NaN
PILANIINVS.bo,NaN,NaN,NaN,NaN
DARSHANORNA.bo,-16838000,1496011,1011152,727361
PARAGMILK.bo,936890000,1207190000,870560000,47560000
MADHAVIPL.bo,37223000,51384000,,106386661
SAGL.bo,NaN,NaN,NaN,NaN
LATENT.bo,NaN,NaN,NaN,NaN
KOCL.bo,-10285504,-1371115,-582333,31235
SNIM.bo,32000,-101442,,
NAGARFERT.bo,-4588922000,-4907355000,-215374000,-1217936000
SEIL.bo,664000,4895643,16525157,20282647
RGIL.bo,NaN,NaN,NaN,NaN
LIKHAMI.bo,46783,112974,342036,99079
MIL.bo,NaN,NaN,NaN,NaN
YASHCHEM.bo,23822000,22941000,18303131,6225997
MAXVIL.bo,,-231051000,37035000,-66950000
ICICINV20.bo,NaN,NaN,NaN,NaN
BAZELINTER.bo,NaN,NaN,NaN,NaN
JLL.bo,13034330,868358,1236573,-4525972
TAALENT.bo,172837000,181378000,156131086,38084786
MGL.bo,7935098000,5463891000,4778723000,3934275000
ZEAL.bo,63317000,75032000,41533229,17748567
QUESS.bo,-4446930000,2567410000,3109872000,1218957000
DIGJAMLTD.bo,-175855000,-443622000,-328976000,-215987000
ICICIMCAP.bo,NaN,NaN,NaN,NaN
ASYL.bo,12495000,20651343,17869162,10636895
HUIL.bo,-158115000,-28172000,-6262000,20039605
TITAANIUM.bo,7446052,7351645,4738069,4222079
COMSYN.bo,114226000,112937000,61624694,53170551
CFEL.bo,NaN,NaN,NaN,NaN
LLOYDSTEEL.bo,24905000,28750000,20735000,8874000
KPL.bo,NaN,NaN,NaN,NaN
LTI.bo,NaN,NaN,NaN,NaN
EASTWEST.bo,NaN,NaN,NaN,NaN
BSLSENETFG.bo,NaN,NaN,NaN,NaN
COLORCHIPS.bo,NaN,NaN,NaN,NaN
ASHARI.bo,,-44046976,17727346,8998009
ADVENZYMES.bo,1292940000,1110590000,900550000,915490000
LAHL.bo,NaN,NaN,NaN,NaN
PTIL.bo,,-39376000,-193995000,17391060
DBL.bo,NaN,NaN,NaN,NaN
