,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,NaN,NaN,NaN,NaN
21STCENMGM.NS,NaN,NaN,NaN,NaN
ASTEC.NS,162110000.0,93097000.0,136158000.0,100677000.0
ASTERDM.NS,110300000,333700000,359900000,359610000
ASTRAL.NS,NaN,NaN,NaN,NaN
ASTRAMICRO.NS,NaN,NaN,NaN,NaN
ASTRAZEN.NS,208100000.0,198800000.0,157500000.0,109200000.0
ASTRON.NS,3288116871.0,3126328938.0,2315522000.0,1725274000.0
ATFL.NS,NaN,NaN,NaN,NaN
ATLANTA.NS,7420330000.0,16283902832.0,16552512049.0,17469159285.0
ATLASCYCLE.NS,,32519190.0,32519190.0,32519190.0
ATUL.NS,1538100000.0,1203900000.0,560600000.0,417800000.0
ATULAUTO.NS,109700000,109700000,109716000,109716000
AUBANK.NS,3041233000.0,2923575000.0,2857036000.0,2842509000.0
AURIONPRO.NS,479058000,565526000,953084000,668322000
AUROPHARMA.NS,78200000.0,37600000.0,19000000.0,74100000.0
AUSOMENT.NS,NaN,NaN,NaN,NaN
AUTOAXLES.NS,NaN,NaN,NaN,NaN
AUTOIND.NS,4316100000.0,5263309828.0,4972716461.0,5068277667.0
AUTOLITIND.NS,,1096509000.0,1102703000.0,1013043000.0
AVADHSUGAR.NS,200184000.0,100092000.0,100092000.0,100092000.0
AVANTIFEED.NS,18799505000.0,16148185000.0,15262629000.0,10686388000.0
AVTNPL.NS,92549000.0,109444000.0,70285000.0,90888000.0
AXISBANK.NS,NaN,NaN,NaN,NaN
AXISCADES.NS,2042636000.0,1476799000.0,1291199000.0,124535000.0
AYMSYNTEX.NS,8148201000.0,8050444000.0,6791852000.0,5900809000.0
BAGFILMS.NS,200723769,216663855,183497474,332760881
BAJAJ-AUTO.NS,265100200000,288344100000,251410000000,216376200000
BAJAJCON.NS,8146070000,6053533000,6075116000,5896853000
BAJAJELEC.NS,45671961000.0,51789708000.0,34658641000.0,30783312000.0
BAJAJFINSV.NS,124934600000.0,96921000000.0,56263200000.0,28398200000.0
BAJAJHIND.NS,135483600000.0,138062700000.0,140542800000.0,143409700000.0
BAJAJHLDNG.NS,NaN,NaN,NaN,NaN
BAJFINANCE.NS,1643913700000,1242325100000,847982700000,637305100000
BALAJITELE.NS,384371000.0,163549000.0,96282000.0,365661000.0
BALAMINES.NS,NaN,NaN,NaN,NaN
BALAXI.NS,100000000.0,30400000.0,30400000.0,30400000.0
BALKRISHNA.NS,107398000.0,107398000.0,107398000.0,107398000.0
BALKRISIND.NS,386600000.0,386600000.0,386600000.0,193300000.0
BALLARPUR.NS,NaN,NaN,NaN,NaN
BALMLAWRIE.NS,2374757000.0,2109234000.0,2363779000.0,2515826000.0
BALPHARMA.NS,63632000.0,56145000.0,43900000.0,45921000.0
BALRAMCHIN.NS,48068257000.0,47021695000.0,36996227000.0,40274871000.0
