,2020-03-31,2019-03-31,2018-03-31,2017-03-31
ZGOLDINV.bo,NaN,NaN,NaN,NaN
PEOPLIN.bo,NaN,NaN,NaN,NaN
DSINVEST.bo,38076797.0,40445538.0,22688738.0,-69431790.0
CENTRUM.bo,29292095000.0,28402215000.0,20289223841.0,11234188817.0
TCIFINANCE.bo,12770000.0,13598000.0,1506080.0,1376025.0
KRATOSENER.bo,39839000.0,40311445.0,31190664.0,23422163.0
ANTARIKSH.bo,NaN,NaN,NaN,NaN
IITL.bo,54106000.0,131626940.0,69902240.0,196254556.0
INDPRUD.bo,1894482000.0,1671047000.0,1965068000.0,1826336000.0
TATAINVEST.bo,81794763000.0,94781761000.0,98660708000.0,25371376000.0
JAYBHCR.bo,7211677.0,7211684.0,461725077.0,461722623.0
PRISMX.bo,NaN,NaN,NaN,NaN
MOTOGENFIN.bo,390254000.0,383093995.0,219975545.0,54619921.0
RAPIDIN.bo,39316.0,39316.0,74316.0,10000.0
WALCHPF.bo,29039000.0,29039000.0,29039000.0,29039000.0
ZSWASTSA.bo,NaN,NaN,NaN,NaN
WHBRADY.bo,25500000.0,25500000.0,25500000.0,25500000.0
TECHNVISN.bo,-4184203.0,4440647.0,299855.0,285400.0
SHAILY.bo,83184000,83184000,83184000,83184000
BBTC.bo,113574009000,94371743000,83581118000,73914934000
BOMBCYC.bo,4000000,2000000,2000000,2000000
GREAVESCOT.bo,12486400000.0,14556700000.0,13461900000.0,12498700000.0
MULLER.bo,24387,27697,14497,95921
AMALGAM.bo,48921.0,20875.0,8768.0,13246.0
ANANDPROJ.bo,NaN,NaN,NaN,NaN
INDIANVSH.bo,,9958054551.0,8857025307.0,4441849537.0
COASTCORP.bo,84988000.0,48483000.0,143331000.0,89279000.0
CHOWGULSTM.bo,363084000.0,363084000.0,363084000.0,363084000.0
GLOBOFFS.bo,247288000.0,247288000.0,247288000.0,247288000.0
DHENUBUILD.bo,NaN,NaN,NaN,NaN
ASIIL.bo,NaN,NaN,NaN,NaN
SAGCEM.bo,19387500000.0,17611100000.0,15706000000.0,15332000000.0
DECCANCE.bo,70038000.0,70038000.0,70038000.0,70038000.0
MANGLMCEM.bo,576716000,645173000,976133000,1289199000
NCLIND.bo,745842000,728702000,411349000,695655000
SAURASHCEM.bo,695184000.0,693373000.0,691911000.0,691911000.0
SHREDIGCEM.bo,1413754000,1413754000,1413743000,1413743000
